RIC,Date,Name,ISIN Code,TRBC Industry Group Name
ISS.CO,2020-12-31,ISS A/S,DK0060542181,Professional & Commercial Services
ROCKb.CO,2020-12-31,ROCKWOOL INTL SR A ORD,DK0063855168,Construction Materials
TRYG.CO,2020-12-31,TRYGVESTA ORD,DK0060636678,Insurance
DSV.CO,2020-12-31,DSV PANALPINA ORD,DK0060079531,Freight & Logistics Services
CARLb.CO,2020-12-31,CARLSBERG ORD,DK0010181759,Beverages
PNDORA.CO,2020-12-31,PANDORA ORD,DK0060252690,Textiles & Apparel
COLOb.CO,2020-12-31,COLOPLAST ORD,DK0060448595,Healthcare Equipment & Supplies
MAERSKa.CO,2021-12-31,MOELLER MAERSK ORD,DK0010244425,Freight & Logistics Services
GMAB.CO,2021-12-31,GENMAB ORD,DK0010272202,Biotechnology & Medical Research
MAERSKb.CO,2021-12-31,MOELLER MAERSK B ORD,DK0010244508,Freight & Logistics Services
VWS.CO,2021-12-31,VESTAS WIND SYSTEMS ORD,DK0061539921,Renewable Energy
NSISb.CO,2021-12-31,NOVOZYMES ORD,DK0060336014,Chemicals
RBREW.CO,2021-12-31,ROYAL UNIBREW ORD,DK0060634707,Beverages
NOVOb.CO,2021-12-31,NOVO-NORDISK ORD,DK0062498333,Pharmaceuticals
NETCG.CO,2021-12-31,NETCOMPANY A/S ORD,DK0060952919,Software & IT Services
ORSTED.CO,2021-12-31,ORSTED ORD,DK0060094928,Electric Utilities & IPPs
DANSKE.CO,2021-12-31,DANSKE BANK ORD,DK0010274414,Banking Services
CHRH.CO^A24,2021-12-31,CHRISTIAN HANSEN HOLDING ORD,DK0060227585,Food & Tobacco
GN.CO,2021-12-31,GN STORE NORD ORD,DK0010272632,"Computers, Phones & Household Electronics"
DEMANT.CO,2021-12-31,DEMANT ORD,DK0060738599,Healthcare Equipment & Supplies
AMBUb.CO,2021-12-31,AMBU ORD,DK0060946788,Healthcare Equipment & Supplies
ROCKb.CO,2021-12-31,ROCKWOOL INTL SR A ORD,DK0063855168,Construction Materials
TRYG.CO,2021-12-31,TRYGVESTA ORD,DK0060636678,Insurance
DSV.CO,2021-12-31,DSV AS ORD,DK0060079531,Freight & Logistics Services
CARLb.CO,2021-12-31,CARLSBERG ORD,DK0010181759,Beverages
PNDORA.CO,2021-12-31,PANDORA ORD,DK0060252690,Textiles & Apparel
COLOb.CO,2021-12-31,COLOPLAST ORD,DK0060448595,Healthcare Equipment & Supplies
MAERSKa.CO,2022-12-31,MOELLER MAERSK ORD,DK0010244425,Freight & Logistics Services
GMAB.CO,2022-12-31,GENMAB ORD,DK0010272202,Biotechnology & Medical Research
MAERSKb.CO,2022-12-31,MOELLER MAERSK B ORD,DK0010244508,Freight & Logistics Services
BAVA.CO,2022-12-31,BAVARIAN NORDIC ORD,DK0015998017,Pharmaceuticals
VWS.CO,2022-12-31,VESTAS WIND SYSTEMS ORD,DK0061539921,Renewable Energy
NSISb.CO,2022-12-31,NOVOZYMES ORD,DK0060336014,Chemicals
JYSK.CO,2022-12-31,JYSKE BANK ORD,DK0010307958,Banking Services
RBREW.CO,2022-12-31,ROYAL UNIBREW ORD,DK0060634707,Beverages
NOVOb.CO,2022-12-31,NOVO-NORDISK ORD,DK0062498333,Pharmaceuticals
ORSTED.CO,2022-12-31,ORSTED ORD,DK0060094928,Electric Utilities & IPPs
DANSKE.CO,2022-12-31,DANSKE BANK ORD,DK0010274414,Banking Services
CHRH.CO^A24,2022-12-31,CHRISTIAN HANSEN HOLDING ORD,DK0060227585,Food & Tobacco
GN.CO,2022-12-31,GN STORE NORD ORD,DK0010272632,"Computers, Phones & Household Electronics"
DEMANT.CO,2022-12-31,DEMANT ORD,DK0060738599,Healthcare Equipment & Supplies
AMBUb.CO,2022-12-31,AMBU ORD,DK0060946788,Healthcare Equipment & Supplies
TRYG.CO,2022-12-31,TRYGVESTA ORD,DK0060636678,Insurance
DSV.CO,2022-12-31,DSV AS ORD,DK0060079531,Freight & Logistics Services
CARLb.CO,2022-12-31,CARLSBERG ORD,DK0010181759,Beverages
PNDORA.CO,2022-12-31,PANDORA ORD,DK0060252690,Textiles & Apparel
COLOb.CO,2022-12-31,COLOPLAST ORD,DK0060448595,Healthcare Equipment & Supplies
MAERSKa.CO,2023-12-31,MOELLER MAERSK ORD,DK0010244425,Freight & Logistics Services
GMAB.CO,2023-12-31,GENMAB ORD,DK0010272202,Biotechnology & Medical Research
