Instrument,Constituent RIC,Constituent Name,Date,Index
.OMXH25,HUH1V.HE,HUHTAMAKI SR I ORD,2020-12-31,.OMXH25
.OMXH25,KESKOB.HE,KESKO ORD,2020-12-31,.OMXH25
.OMXH25,OUT1V.HE,OUTOKUMPU OYJ ORD,2021-12-31,.OMXH25
.OMXH25,TYRES.HE,NOKIAN TYRES PLC ORD,2021-12-31,.OMXH25
.OMXH25,VALMT.HE,VALMET CORP,2021-12-31,.OMXH25
.OMXH25,METSB.HE,M-REAL ORD,2021-12-31,.OMXH25
.OMXH25,KNEBV.HE,KONE ORD,2021-12-31,.OMXH25
.OMXH25,HIAB.HE,CARGOTEC ORD,2021-12-31,.OMXH25
.OMXH25,TELIA1.HE,TELIA CO AB ORD,2021-12-31,.OMXH25
.OMXH25,KEMIRA.HE,KEMIRA OYJ ORD,2021-12-31,.OMXH25
.OMXH25,KOJAMO.HE,KOJAMO OYJ ORD,2021-12-31,.OMXH25
.OMXH25,ORNBV.HE,ORION ORD,2021-12-31,.OMXH25
.OMXH25,NESTE.HE,NESTE OYJ ORD,2021-12-31,.OMXH25
.OMXH25,METSO.HE,METSO OUTOTEC CORPORATION ORD,2021-12-31,.OMXH25
.OMXH25,QTCOM.HE,QT GROUP ORD,2021-12-31,.OMXH25
.OMXH25,STERV.HE,STORA ENSO R ORD,2021-12-31,.OMXH25
.OMXH25,SAMPO.HE,SAMPO PLC ORD,2021-12-31,.OMXH25
.OMXH25,NOKIA.HE,NOKIA ORD,2021-12-31,.OMXH25
.OMXH25,FORTUM.HE,FORTUM ORD,2021-12-31,.OMXH25
.OMXH25,WRT1V.HE,WARTSILA ORD,2021-12-31,.OMXH25
.OMXH25,NDAFI.HE,NORDEA BANK ABP ORD,2021-12-31,.OMXH25
.OMXH25,ELISA.HE,ELISA ORD,2021-12-31,.OMXH25
.OMXH25,UPM.HE,UPM-KYMMENE OY ORD,2021-12-31,.OMXH25
.OMXH25,TIETO.HE,TIETOENATOR ORD,2021-12-31,.OMXH25
.OMXH25,KCRA.HE,KONECRANES OYJ ORD,2021-12-31,.OMXH25
.OMXH25,HUH1V.HE,HUHTAMAKI SR I ORD,2021-12-31,.OMXH25
.OMXH25,KESKOB.HE,KESKO ORD,2021-12-31,.OMXH25
.OMXH25,OUT1V.HE,OUTOKUMPU OYJ ORD,2022-12-31,.OMXH25
.OMXH25,TYRES.HE,NOKIAN TYRES PLC ORD,2022-12-31,.OMXH25
.OMXH25,TOKMAN.HE,TOKMANNI GROUP CORPORATION ORD SHS,2022-12-31,.OMXH25
.OMXH25,VALMT.HE,VALMET CORP,2022-12-31,.OMXH25
.OMXH25,KNEBV.HE,KONE ORD,2022-12-31,.OMXH25
.OMXH25,HIAB.HE,CARGOTEC ORD,2022-12-31,.OMXH25
.OMXH25,TELIA1.HE,TELIA CO AB ORD,2022-12-31,.OMXH25
.OMXH25,KOJAMO.HE,KOJAMO OYJ ORD,2022-12-31,.OMXH25
.OMXH25,ORNBV.HE,ORION ORD,2022-12-31,.OMXH25
.OMXH25,NESTE.HE,NESTE OYJ ORD,2022-12-31,.OMXH25
.OMXH25,METSO.HE,METSO OUTOTEC CORPORATION ORD,2022-12-31,.OMXH25
.OMXH25,QTCOM.HE,QT GROUP ORD,2022-12-31,.OMXH25
.OMXH25,STERV.HE,STORA ENSO R ORD,2022-12-31,.OMXH25
.OMXH25,SAMPO.HE,SAMPO PLC ORD,2022-12-31,.OMXH25
.OMXH25,NOKIA.HE,NOKIA ORD,2022-12-31,.OMXH25
.OMXH25,FORTUM.HE,FORTUM ORD,2022-12-31,.OMXH25
.OMXH25,WRT1V.HE,WARTSILA ORD,2022-12-31,.OMXH25
.OMXH25,NDAFI.HE,NORDEA BANK ABP ORD,2022-12-31,.OMXH25
.OMXH25,ELISA.HE,ELISA ORD,2022-12-31,.OMXH25
.OMXH25,UPM.HE,UPM-KYMMENE OY ORD,2022-12-31,.OMXH25
.OMXH25,TIETO.HE,TIETOENATOR ORD,2022-12-31,.OMXH25
.OMXH25,SSABBH.HE,SSAB ORD,2022-12-31,.OMXH25
.OMXH25,KCRA.HE,KONECRANES OYJ ORD,2022-12-31,.OMXH25
.OMXH25,HUH1V.HE,HUHTAMAKI SR I ORD,2022-12-31,.OMXH25
.OMXH25,KESKOB.HE,KESKO ORD,2022-12-31,.OMXH25
.OMXH25,OUT1V.HE,OUTOKUMPU OYJ ORD,2023-12-31,.OMXH25
.OMXH25,TYRES.HE,NOKIAN TYRES PLC ORD,2023-12-31,.OMXH25
.OMXH25,VALMT.HE,VALMET CORP,2023-12-31,.OMXH25
.OMXH25,METSB.HE,M-REAL ORD,2023-12-31,.OMXH25
