,RIC,ISIN Code,TRBC Industry Group Name
267,CVO.PA,FR0000064578,Residential & Commercial REITs
268,RXL.PA,FR0010451203,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
269,EMEIS.PA,FR001400NLM4,Healthcare Providers & Services
270,SEVI.PA^B22,FR0010613471,Professional & Commercial Services
271,SGEF.PA,FR0000125486,Construction & Engineering
272,NEXS.PA,FR0000044448,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
273,APAM.AS,LU0569974404,Metals & Mining
274,LTEN.PA,FR0000071946,Software & IT Services
275,VIV.PA,FR0000127771,Media & Publishing
276,IPN.PA,FR0010259150,Pharmaceuticals
277,SOIT.PA,FR0013227113,Semiconductors & Semiconductor Equipment
278,STDM.PA,FR0013154002,Healthcare Equipment & Supplies
279,BOLL.PA,FR0000039299,Media & Publishing
280,EDEN.PA,FR0010908533,Professional & Commercial Services
281,ROBF.PA,FR0000039091,Chemicals
282,BNPP.PA,FR0000131104,Banking Services
283,HRMS.PA,FR0000052292,Textiles & Apparel
284,COFA.PA,FR0010667147,Insurance
285,DANO.PA,FR0000120644,Food & Tobacco
286,URW.PA,FR0013326246,Residential & Commercial REITs
287,PRTP.PA,FR0000121485,Specialty Retailers
288,AYV.PA,FR0013258662,Freight & Logistics Services
289,BICP.PA,FR0000120966,Professional & Commercial Services
290,ATOS.PA,FR001400X2S4,Software & IT Services
291,ABIO.PA^J22,FR0000060402,Electric Utilities & IPPs
292,ELIOR.PA,FR0011950732,Hotels & Entertainment Services
293,ALMCP.PA,FR0011742329,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
294,FNAC.PA,FR0011476928,Specialty Retailers
295,MICP.PA,FR001400AJ45,Automobiles & Auto Parts
296,SAF.PA,FR0000073272,Aerospace & Defense
297,RCOP.PA,FR0000130395,Beverages
298,DAST.PA,FR0014003TT8,Software & IT Services
299,ACCP.PA,FR0000120404,Hotels & Entertainment Services
300,MWDP.PA,FR0000121204,Investment Holding Companies
301,ORAN.PA,FR0000133308,Telecommunications Services
302,EUFI.PA,FR0014000MR3,Biotechnology & Medical Research
303,EXHO.PA,FR0000121220,Hotels & Entertainment Services
304,ENX.PA,NL0006294274,Investment Banking & Investment Services
305,BVI.PA,FR0006174348,Professional & Commercial Services
306,AIRF.PA,FR001400J770,Passenger Transportation Services
307,AIRP.PA,FR0000120073,Chemicals
308,SASY.PA,FR0000120578,Pharmaceuticals
309,TFFP.PA,FR0000054900,Media & Publishing
310,CARM.PA,FR0010828137,Residential & Commercial REITs
311,ESLX.PA,FR0000121667,Healthcare Equipment & Supplies
312,AM.PA,FR0014004L86,Aerospace & Defense
313,AMUN.PA,FR0004125920,Investment Banking & Investment Services
314,AIR.PA,NL0000235190,Aerospace & Defense
315,AXAF.PA,FR0000120628,Insurance
316,GFCP.PA,FR0010040865,Residential & Commercial REITs
317,MT.AS,LU1598757687,Metals & Mining
318,ENGIE.PA,FR0010208488,Multiline Utilities
319,BOUY.PA,FR0000120503,Construction & Engineering
320,VLLP.PA,FR0013506730,Oil & Gas Related Equipment and Services
321,UBIP.PA,FR0000054470,Software & IT Services
322,EDF.PA^F23,FR0010242511,Multiline Utilities
323,SEBF.PA,FR0000121709,Household Goods
324,MERY.PA,FR0010241638,Residential & Commercial REITs
325,CASP.PA,FR001400OKR3,Food & Drug Retailing
326,SPIE.PA,FR0012757854,Construction & Engineering
327,PEUP.PA^A21,FR0000121501,Automobiles & Auto Parts
328,GTT.PA,FR0011726835,Oil & Gas Related Equipment and Services
329,FOUG.PA,FR0000130452,Construction & Engineering
330,VLOF.PA,FR0013176526,Automobiles & Auto Parts
331,ICAD.PA,FR0000035081,Residential & Commercial REITs
332,SESFd.PA,LU0088087324,Telecommunications Services
333,ERMT.PA,FR0000131757,Metals & Mining
334,MMTP.PA,FR0000053225,Media & Publishing
335,LVMH.PA,FR0000121014,Textiles & Apparel
336,SCHN.PA,FR0000121972,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
337,ISOS.PA,FR0000073298,Media & Publishing
338,CAGR.PA,FR0000045072,Banking Services
339,SOGN.PA,FR0000130809,Banking Services
340,BIOX.PA,FR0013280286,Healthcare Equipment & Supplies
341,NEXI.PA,FR0010112524,Real Estate Operations
342,LEGD.PA,FR0010307819,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
343,SGOB.PA,FR0000125007,Homebuilding & Construction Supplies
344,ELIS.PA,FR0012435121,Professional & Commercial Services
345,FRVIA.PA,FR0000121147,Automobiles & Auto Parts
346,IMTP.PA,FR0000120859,Metals & Mining
347,SOPR.PA,FR0000050809,Software & IT Services
348,S30.PA,FR0013379484,Software & IT Services
