RIC,Date,Name
OUT1V.HE,2023-12-31,OUTOKUMPU OYJ ORD
TYRES.HE,2023-12-31,NOKIAN TYRES PLC ORD
VALMT.HE,2023-12-31,VALMET CORP
METSB.HE,2023-12-31,M-REAL ORD
KNEBV.HE,2023-12-31,KONE ORD
HIAB.HE,2023-12-31,CARGOTEC ORD
TELIA1.HE,2023-12-31,TELIA CO AB ORD
KOJAMO.HE,2023-12-31,KOJAMO OYJ ORD
ORNBV.HE,2023-12-31,ORION ORD
NESTE.HE,2023-12-31,NESTE OYJ ORD
METSO.HE,2023-12-31,METSO CORP ORD
QTCOM.HE,2023-12-31,QT GROUP ORD
STERV.HE,2023-12-31,STORA ENSO R ORD
SAMPO.HE,2023-12-31,SAMPO PLC ORD
NOKIA.HE,2023-12-31,NOKIA ORD
FORTUM.HE,2023-12-31,FORTUM ORD
WRT1V.HE,2023-12-31,WARTSILA ORD
NDAFI.HE,2023-12-31,NORDEA BANK ABP ORD
ELISA.HE,2023-12-31,ELISA ORD
UPM.HE,2023-12-31,UPM-KYMMENE OY ORD
TIETO.HE,2023-12-31,TIETOENATOR ORD
SSABBH.HE,2023-12-31,SSAB ORD
KCRA.HE,2023-12-31,KONECRANES OYJ ORD
HUH1V.HE,2023-12-31,HUHTAMAKI SR I ORD
KESKOB.HE,2023-12-31,KESKO ORD
OUT1V.HE,2024-12-31,OUTOKUMPU OYJ ORD
TYRES.HE,2024-12-31,NOKIAN TYRES PLC ORD
VALMT.HE,2024-12-31,VALMET CORP
METSB.HE,2024-12-31,M-REAL ORD
MANTA.HE,2024-12-31,MANDATUM PLC ORD
KNEBV.HE,2024-12-31,KONE ORD
HIAB.HE,2024-12-31,CARGOTEC ORD
KEMIRA.HE,2024-12-31,KEMIRA OYJ ORD
KOJAMO.HE,2024-12-31,KOJAMO OYJ ORD
ORNBV.HE,2024-12-31,ORION ORD
NESTE.HE,2024-12-31,NESTE OYJ ORD
METSO.HE,2024-12-31,METSO CORP ORD
QTCOM.HE,2024-12-31,QT GROUP ORD
STERV.HE,2024-12-31,STORA ENSO R ORD
SAMPO.HE,2024-12-31,SAMPO PLC ORD
NOKIA.HE,2024-12-31,NOKIA ORD
FORTUM.HE,2024-12-31,FORTUM ORD
WRT1V.HE,2024-12-31,WARTSILA ORD
NDAFI.HE,2024-12-31,NORDEA BANK ABP ORD
ELISA.HE,2024-12-31,ELISA ORD
UPM.HE,2024-12-31,UPM-KYMMENE OY ORD
TIETO.HE,2024-12-31,TIETOENATOR ORD
KCRA.HE,2024-12-31,KONECRANES OYJ ORD
HUH1V.HE,2024-12-31,HUHTAMAKI SR I ORD
KESKOB.HE,2024-12-31,KESKO ORD
TRIA.PA,2019-12-31,TRIGANO ORD
CVO.PA,2019-12-31,COVIVIO SA ORD
RXL.PA,2019-12-31,REXEL ORD
EMEIS.PA,2019-12-31,ORPEA ORD
SEVI.PA^B22,2019-12-31,SUEZ ORD
SGEF.PA,2019-12-31,VINCI ORD
INGC.PA^K20,2019-12-31,INGENICO GROUP
NEXS.PA,2019-12-31,NEXANS PARIS ORD
APAM.AS,2019-12-31,APERAM ORD
LTEN.PA,2019-12-31,ALTEN ORD
VIV.PA,2019-12-31,VIVENDI ORD
IPN.PA,2019-12-31,IPSEN PROMESSES ORD
SOIT.PA,2019-12-31,SOITEC SA ORD
STDM.PA,2019-12-31,STEDIM ORD
BOLL.PA,2019-12-31,BOLLORE ORD
